Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,0.070000,0.070000,0.070000,0.070000,0.070000,0
2020-01-07,0.070000,0.070000,0.070000,0.070000,0.070000,0
2020-01-08,0.070000,0.070000,0.070000,0.070000,0.070000,0
2020-01-09,0.070000,0.070000,0.070000,0.070000,0.070000,0
2020-01-10,0.070000,0.070000,0.070000,0.070000,0.070000,0
2020-01-13,0.070000,0.070000,0.070000,0.070000,0.070000,0
2020-01-14,0.070000,0.070000,0.070000,0.070000,0.070000,5000
2020-01-15,0.060000,0.080000,0.060000,0.080000,0.080000,3000
2020-01-16,0.080000,0.080000,0.080000,0.080000,0.080000,0
2020-01-17,0.080000,0.080000,0.080000,0.080000,0.080000,0
2020-01-20,0.080000,0.080000,0.080000,0.080000,0.080000,0
2020-01-21,0.070000,0.070000,0.070000,0.070000,0.070000,5000
2020-01-22,0.060000,0.070000,0.060000,0.070000,0.070000,10700
2020-01-23,0.070000,0.070000,0.070000,0.070000,0.070000,0
2020-01-24,0.070000,0.070000,0.070000,0.070000,0.070000,0
2020-01-27,0.055000,0.055000,0.045000,0.045000,0.045000,34000
2020-01-28,0.055000,0.055000,0.055000,0.055000,0.055000,1000
2020-01-29,0.055000,0.055000,0.055000,0.055000,0.055000,0
2020-01-30,0.085000,0.085000,0.085000,0.085000,0.085000,5000
2020-01-31,0.060000,0.060000,0.060000,0.060000,0.060000,10000
2020-02-03,0.060000,0.060000,0.060000,0.060000,0.060000,10100
2020-02-04,0.060000,0.060000,0.060000,0.060000,0.060000,0
2020-02-05,0.060000,0.060000,0.055000,0.055000,0.055000,49900
2020-02-06,0.055000,0.055000,0.055000,0.055000,0.055000,0
2020-02-07,0.055000,0.055000,0.055000,0.055000,0.055000,0
2020-02-10,0.065000,0.065000,0.065000,0.065000,0.065000,3000
2020-02-11,0.065000,0.065000,0.065000,0.065000,0.065000,0
2020-02-12,0.065000,0.065000,0.065000,0.065000,0.065000,0
2020-02-13,0.065000,0.065000,0.065000,0.065000,0.065000,0
2020-02-14,0.065000,0.065000,0.065000,0.065000,0.065000,0
2020-02-18,0.065000,0.065000,0.065000,0.065000,0.065000,0
2020-02-19,0.065000,0.065000,0.065000,0.065000,0.065000,0
2020-02-20,0.065000,0.065000,0.065000,0.065000,0.065000,0
2020-02-21,0.090000,0.090000,0.090000,0.090000,0.090000,2400
2020-02-24,0.095000,0.095000,0.095000,0.095000,0.095000,5000
2020-02-25,0.095000,0.095000,0.095000,0.095000,0.095000,0
2020-02-26,0.100000,0.100000,0.100000,0.100000,0.100000,20000
2020-02-27,0.100000,0.100000,0.070000,0.070000,0.070000,32500
2020-02-28,0.070000,0.070000,0.070000,0.070000,0.070000,0
2020-03-02,0.095000,0.095000,0.095000,0.095000,0.095000,3000
2020-03-03,0.090000,0.090000,0.090000,0.090000,0.090000,9060
2020-03-04,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-03-05,0.085000,0.100000,0.085000,0.100000,0.100000,4000
2020-03-06,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-03-09,0.045000,0.085000,0.045000,0.085000,0.085000,22500
2020-03-10,0.085000,0.085000,0.085000,0.085000,0.085000,0
2020-03-11,0.090000,0.090000,0.090000,0.090000,0.090000,1000
2020-03-12,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-03-13,0.050000,0.080000,0.050000,0.080000,0.080000,47000
2020-03-16,0.085000,0.085000,0.085000,0.085000,0.085000,1274
2020-03-17,0.085000,0.085000,0.085000,0.085000,0.085000,0
2020-03-18,0.040000,0.040000,0.040000,0.040000,0.040000,1160
2020-03-19,0.085000,0.085000,0.085000,0.085000,0.085000,1450
2020-03-20,0.050000,0.075000,0.050000,0.050000,0.050000,30800
2020-03-23,0.050000,0.050000,0.050000,0.050000,0.050000,0
2020-03-24,0.050000,0.050000,0.050000,0.050000,0.050000,1000
2020-03-25,0.050000,0.050000,0.050000,0.050000,0.050000,0
2020-03-26,0.050000,0.050000,0.050000,0.050000,0.050000,0
2020-03-27,0.050000,0.050000,0.050000,0.050000,0.050000,0
2020-03-30,0.050000,0.050000,0.050000,0.050000,0.050000,0
2020-03-31,0.050000,0.050000,0.050000,0.050000,0.050000,0
2020-04-01,0.050000,0.050000,0.050000,0.050000,0.050000,0
2020-04-02,0.050000,0.050000,0.050000,0.050000,0.050000,6000
