Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,122.870003,122.870003,119.720001,120.129997,117.469833,410000
2020-01-06,122.059998,122.500000,117.389999,118.809998,116.179085,939100
2020-01-07,118.809998,121.150002,118.449997,120.180000,117.518738,698400
2020-01-08,120.269997,120.879997,110.400002,111.599998,109.128738,1232300
2020-01-09,111.370003,113.459999,110.680000,112.190002,109.705673,821900
2020-01-10,112.699997,114.559998,112.699997,113.790001,111.270241,446400
2020-01-13,113.519997,113.800003,111.000000,111.180000,108.718040,621200
2020-01-14,110.970001,112.529999,109.209999,112.370003,109.881691,1002900
2020-01-15,112.599998,115.500000,112.250000,114.599998,112.062302,535700
2020-01-16,114.510002,115.669998,113.370003,114.970001,112.424118,617300
2020-01-17,115.660004,115.839996,112.750000,112.769997,110.272827,441900
2020-01-21,110.970001,114.309998,109.639999,114.089996,111.563591,816500
2020-01-22,113.849998,114.019997,112.169998,112.820000,110.321724,504800
2020-01-23,112.120003,113.910004,111.900002,112.639999,110.145714,651300
2020-01-24,112.639999,115.650002,112.180000,114.860001,112.316544,383400
2020-01-27,116.239998,117.489998,113.739998,114.180000,111.651611,484400
2020-01-28,113.339996,113.879997,110.360001,111.720001,109.246071,452600
2020-01-29,111.180000,113.930000,111.180000,113.639999,111.123573,398400
2020-01-30,113.940002,115.190002,113.019997,113.910004,111.387589,350700
2020-01-31,114.010002,115.910004,114.000000,115.320000,112.766350,538900
2020-02-03,114.699997,114.839996,111.839996,112.389999,109.901245,626500
2020-02-04,111.570000,112.660004,110.570000,111.139999,108.678932,588100
2020-02-05,110.800003,113.690002,110.709999,112.089996,109.607880,565100
2020-02-06,110.500000,113.000000,105.000000,108.760002,106.351624,1022000
2020-02-07,108.919998,109.220001,105.519997,105.660004,103.320274,457300
2020-02-10,105.540001,107.190002,105.110001,106.849998,104.483917,519500
2020-02-11,106.489998,107.730003,105.720001,106.639999,104.278572,471500
2020-02-12,107.559998,107.610001,104.760002,105.339996,103.007355,475700
2020-02-13,106.279999,106.449997,104.120003,104.220001,101.912155,672400
2020-02-14,103.690002,103.690002,101.389999,102.919998,100.640945,708800
2020-02-18,103.000000,105.610001,102.930000,104.610001,102.293526,540900
2020-02-19,105.199997,107.389999,104.610001,105.760002,103.418060,808200
2020-02-20,105.739998,107.949997,105.580002,107.269997,104.894608,532900
